student_id,subject,total,present,late,absent,other,attendance_rate
S03912,Science,1,0,1,0,0,1.0
S02220,Science,3,1,2,0,0,1.0
S05512,Science,4,1,3,0,0,1.0
S11936,Science,2,0,2,0,0,1.0
S00096,Science,2,1,1,0,0,1.0
S00661,Science,4,1,3,0,0,1.0
S04592,Science,2,2,0,0,0,1.0
S10498,Science,5,2,3,0,0,1.0
S07209,Science,3,2,1,0,0,1.0
S03182,Science,6,2,4,0,0,1.0
S06922,Science,5,5,0,0,0,1.0
S10673,Science,1,1,0,0,0,1.0
S02830,Science,1,1,0,0,0,1.0
S04649,Science,5,2,3,0,0,1.0
S01508,Science,1,1,0,0,0,1.0
S00751,Science,4,2,2,0,0,1.0
S05140,Science,6,2,4,0,0,1.0
S12098,Science,6,0,6,0,0,1.0
S09108,Science,6,2,4,0,0,1.0
S05145,Science,3,1,2,0,0,1.0
S02336,Science,4,2,2,0,0,1.0
S11660,Science,4,2,2,0,0,1.0
S11425,Science,6,6,0,0,0,1.0
S07732,Science,4,1,3,0,0,1.0
S09906,Science,5,3,2,0,0,1.0
S05106,Science,4,2,2,0,0,1.0
S08932,Science,2,0,2,0,0,1.0
S09573,Science,3,2,1,0,0,1.0
S05025,Science,3,1,2,0,0,1.0
S04146,Science,4,2,2,0,0,1.0
S11049,Science,3,0,3,0,0,1.0
S00781,Science,3,3,0,0,0,1.0
S12031,Science,4,3,1,0,0,1.0
S07957,Science,3,0,3,0,0,1.0
S03682,Science,3,1,2,0,0,1.0
S10327,Science,3,2,1,0,0,1.0
S03602,Science,6,1,5,0,0,1.0
S06381,Science,3,2,1,0,0,1.0
S07773,Science,5,2,3,0,0,1.0
S10450,Science,4,1,3,0,0,1.0
S10566,Science,6,1,5,0,0,1.0
S10875,Science,4,2,2,0,0,1.0
S11677,Science,2,0,2,0,0,1.0
S08666,Science,1,1,0,0,0,1.0
S02743,Science,4,4,0,0,0,1.0
S04561,Science,5,4,1,0,0,1.0
S04382,Science,5,3,2,0,0,1.0
S00072,Science,4,2,2,0,0,1.0
S05252,Science,6,3,3,0,0,1.0
S11951,Science,3,1,2,0,0,1.0
S07748,Science,2,1,1,0,0,1.0
S01858,Science,1,1,0,0,0,1.0
S07605,Science,3,2,1,0,0,1.0
S03580,Science,3,0,3,0,0,1.0
S05116,Science,4,0,4,0,0,1.0
S05309,Science,4,1,3,0,0,1.0
S04644,Science,3,2,1,0,0,1.0
S02748,Science,3,1,2,0,0,1.0
S11421,Science,1,0,1,0,0,1.0
S06058,Science,5,3,2,0,0,1.0
S08619,Science,4,2,2,0,0,1.0
S04557,Science,4,3,1,0,0,1.0
S11835,Science,2,2,0,0,0,1.0
S01051,Science,1,1,0,0,0,1.0
